ID,Mobile_Name,Reviews,Rating
464,iPhone,"Decent phone, but it lags a little when switching apps.",4.7
465,iPhone,"Amazing battery life, but the display could be brighter.",4.1
466,Samsung,"I have been using this for a while, and it has not disappointed.",4.7
467,OnePlus,It's fine for everyday use but doesn't excel in any area.,3.7
468,Samsung,"I have been using this for a while, and it has not disappointed.",3.8
469,iPhone,"Decent phone, but it lags a little when switching apps.",4.3
470,OnePlus,"Affordable and reliable, but lacks some premium features.",4.8
471,iPhone,"Camera quality is top-notch, but the storage could be higher.",3.7
472,OnePlus,"Sleek design, but the camera is not as good as expected.",5
473,Samsung,"Great performance, good camera, but the battery could be better.",4
474,OnePlus,"The phone is good for basic tasks, but not for gaming.",3.9
475,iPhone,"Camera quality is top-notch, but the storage could be higher.",4
476,OnePlus,"Sleek design, but the camera is not as good as expected.",4.4
477,iPhone,"Good value for money, however, the build quality is not premium.",3.5
478,Samsung,"Very fast and responsive, excellent display.",3.9
479,OnePlus,"Sleek design, but the camera is not as good as expected.",3.5
480,Samsung,"Fast charging and decent performance, I love it.",3.9
481,OnePlus,"Value for money, but the software could use some improvements.",3.5
482,OnePlus,"Value for money, but the software could use some improvements.",4.4
483,Samsung,"Great performance, good camera, but the battery could be better.",3.8
484,iPhone,Battery drains quickly when using apps for extended periods.,4.5
485,Samsung,Impressive camera quality and smooth user experience.,3.9
486,Samsung,"Great performance, good camera, but the battery could be better.",4.2
487,OnePlus,"Sleek design, but the camera is not as good as expected.",4.2
488,Samsung,"Great performance, good camera, but the battery could be better.",3.8
489,Samsung,Impressive camera quality and smooth user experience.,3.8
490,iPhone,"Decent phone, but it lags a little when switching apps.",4.6
491,iPhone,"Amazing battery life, but the display could be brighter.",3.8
492,Samsung,Impressive camera quality and smooth user experience.,3.8
493,OnePlus,"Sleek design, but the camera is not as good as expected.",4.9
494,OnePlus,It's fine for everyday use but doesn't excel in any area.,4.8
495,OnePlus,It's fine for everyday use but doesn't excel in any area.,3.7
496,OnePlus,"Sleek design, but the camera is not as good as expected.",4.4
497,iPhone,"Good value for money, however, the build quality is not premium.",3.9
498,OnePlus,"Sleek design, but the camera is not as good as expected.",4.3
499,iPhone,"Decent phone, but it lags a little when switching apps.",4.9
500,Samsung,"Amazing features, especially the camera and display.",3.8
